,molecule_chembl_id,smiles,processed smiles,unique_char_ohe_matrix,pIC50
1455,CHEMBL3648977,CNc1nc(C)c2cc(Br)c(=O)n(CC3CCOC3)c2n1,,,7.318758763
1456,CHEMBL3643271,CCc1ncnc(-c2ccc(C(=O)N(C)C3CCS(=O)(=O)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.317043074
1457,CHEMBL3645923,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCC4)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.316592701
1458,CHEMBL4175738,Cc1nc(NC(=O)[C@@H](N)C(C)C)sc1-c1cnc(Cl)c(NS(=O)(=O)c2ccc(Cl)cc2)c1,,,7.316052869
1459,CHEMBL4291635,COc1ncc(-c2ccc3nccc(=O)n3c2)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,,,7.312471039
1460,CHEMBL4280614,COc1ncc(-c2ccc3nccc(=O)n3c2)cc1NS(=O)(=O)c1ccc(Cl)cc1,,,7.311580178
1461,CHEMBL3645877,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCC(CO)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.310779963
1462,CHEMBL5179088,CNS(=O)(=O)c1cc(-c2ccn3nc(N)c(C(=O)N[C@H]4CC[C@](C)(O)CC4)c3n2)cc2c1C(=O)N([C@@H](C)C(F)(F)F)C2,,,7.30980392
1463,CHEMBL1091492,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)N4CCOCC4)cc3)ccnc21,,,7.30980392
1464,CHEMBL3702877,COC[C@@]1(C(N)=O)CCCN1C(=O)Nc1nc(C)c(-c2ccnc(C(C)(C)C)n2)s1,,,7.30980392
1465,CHEMBL3769994,Nc1ccc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc2c1,,,7.30980392
1466,CHEMBL2314582,Oc1cccc(-c2nc(N3CCOCC3)nc3c2CCN3c2nccs2)c1,,,7.30980392
1467,CHEMBL3655887,CCc1ncnc(NC)c1C#Cc1cnc(C)c(NS(C)(=O)=O)c1,,,7.30980392
1468,CHEMBL3670188,CCc1ncnc(N2CCOC(C)(C)C2)c1C#Cc1ccc(N)nc1,,,7.30980392
1469,CHEMBL3643109,CCc1ncnc(-c2ccc(C(=O)N3CCCOCC3)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.30980392
1470,CHEMBL3643223,CCc1ncnc(-c2cc(F)c(C(=O)N(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.309272456
1471,CHEMBL1934301,CC(=O)Oc1cccc(-c2nc(N3CCOCC3)c3cc4ncccc4n3n2)c1,,,7.303643611
1472,CHEMBL3643270,CCc1ncnc(-c2ccc(C(=O)N(C)OC)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.301290651
1473,CHEMBL409671,CCN(CC)CCN(C)/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)[C@@H](O)CC[C@@H]12,,,7.301029996
1474,CHEMBL3702881,CCN(CC)c1cc(-c2cnc(NC(=O)N3CCC[C@@]3(C)C(N)=O)s2)ccn1,,,7.301029996
1475,CHEMBL1289075,Oc1cccc(-c2cc(Oc3cccnc3)nc(N3CCOCC3)n2)c1,,,7.301029996
1476,CHEMBL3601465,Nc1ncc(-c2nc(N3CCOCC3)c3cccn3n2)cn1,,,7.301029996
1477,CHEMBL4464812,CC[C@H](Nc1nc(N)nc(N)c1C#N)c1nc2cccc(NCc3ccc(C(=O)NO)cc3)c2c(=O)n1-c1ccccc1,,,7.301029996
1478,CHEMBL3670175,CCC1(O)CCN(c2ncnc(C)c2C#Cc2ccc(N)nc2)CC1,,,7.301029996
1479,CHEMBL3670262,CCc1ncnc(N2CCc3ncncc3C2)c1C#Cc1ccc(N)nc1,,,7.301029996
1480,CHEMBL3653153,CS(=O)(=O)c1cccc(-c2nn3c(-c4cnc(N)c(C(F)(F)F)c4)cnc3s2)c1,,,7.301029996
1481,CHEMBL3670252,CCc1ncnc(N2CCC3(CCN(C(=O)NC)CC3)CC2)c1C#Cc1ccc(N)nc1,,,7.301029996
1482,CHEMBL3640929,CNC(=O)c1ccc(-c2ncnc(C)c2C#Cc2ccc(N)nc2)cc1Cl,,,7.301029996
1483,CHEMBL5170300,COc1c(OCCCCCC(=O)NO)ccc2c1N=C(NC(=O)c1ccccc1)N1CCN=C21,,,7.301029996
1484,CHEMBL575710,O=C(c1ccccc1)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4cccc(O)c4)nc32)CC1,,,7.301029996
1485,CHEMBL4859036,COc1ncc2cc1NS(=O)(=O)c1cccc(c1)C(=O)NCc1cc(ccn1)-c1ncnc3cc-2sc13,,,7.299296283
1486,CHEMBL4791280,C[C@H]1COCCN1c1nc(-c2cnc(N)cc2C(F)(F)F)nn2cc(CN3CCN(S(C)(=O)=O)CC3)cc12,,,7.296708622
1487,CHEMBL3645919,CCc1ncnc(-c2ccc(C(=O)N3CCn4cnnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,,,7.294221787
1488,CHEMBL3645836,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC4(CC3)CNC4)c(Cl)c2)c1C#Cc1ccc(N)nc1,,,7.293965339
1489,CHEMBL1091349,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5=CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,,,7.292429824
