Unnamed: 0,molecule_chembl_id,smiles,processed smiles,pIC50,Smiles_Length,processed_smiles,is_orally_available
9312,CHEMBL1765293,CC(C(O)=O)C1=CC=C(NCC(C)=C)C=C1,,,31,CC(C(O)=O)C1=CC=C(NCC(C)=C)C=C1,TRUE
9313,CHEMBL2374961,CC1=CC[C@H](C[C@@H]1O)C(C)(C)O,,,30,CC1=CC[C@H](C[C$H]1O)C(C)(C)O,TRUE
9314,CHEMBL307739,CNCCC1=CC(OC(=O)C(C)C)=C(OC(=O)C(C)C)C=C1,,,41,CNCCC1=CC(OC(=O)C(C)C)=C(OC(=O)C(C)C)C=C1,TRUE
9315,CHEMBL1614641,C[C@H](C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(F)C=C1,,,47,C[C@H](C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(F)C=C1,TRUE
9316,CHEMBL312862,[H][C@@]1(CCC2=CC(OC)=C(OC)C(OC)=C2C2=CC=C(OC)C(=O)C=C12)NC,,,59,[H][C$]1(CCC2=CC(OC)=C(OC)C(OC)=C2C2=CC=C(OC)C(=O)C=C12)NC,TRUE
9317,CHEMBL1788390,CCOC(=O)C(=C\C1=NC=C(N1C)[N+]([O-])=O)\C(C)=O,,,45,CCOC(=O)C(=C\C1=NC=C(N1C)[N+]([O-])=O)\C(C)=O,TRUE
9318,CHEMBL2105499,CC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,,,38,CC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,TRUE
9319,CHEMBL2110978,OS(=O)(=O)CI,,,12,OS(=O)(=O)CI,TRUE
9321,CHEMBL279816,ClC=C(Cl)Cl,,,11,nC=C(n)n,TRUE
9322,CHEMBL2105527,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CCCCC1,,,39,CN1C2=C(C=C(n)C=C2)C(=NCC1=O)C1=CCCCC1,TRUE
9324,CHEMBL354349,[Cl-].C[N+]1=C2C=C(N)C=CC2=CC2=C1C=C(N)C=C2,,,43,[n-].C[N+]1=C2C=C(N)C=CC2=CC2=C1C=C(N)C=C2,TRUE
9325,CHEMBL1257015,COC1=CC=C(C=C1C(=O)NCC1=CC=CN=C1)C(=O)NCC1=CC=CN=C1,,,51,COC1=CC=C(C=C1C(=O)NCC1=CC=CN=C1)C(=O)NCC1=CC=CN=C1,TRUE
9326,CHEMBL2104238,CCCCNCC(=O)NC1=C(C)C=CC=C1Cl,,,28,CCCCNCC(=O)NC1=C(C)C=CC=C1n,TRUE
9327,CHEMBL1408759,CC(C)C1=CC2=C(C)C=CC2=C(C)C=C1,,,30,CC(C)C1=CC2=C(C)C=CC2=C(C)C=C1,TRUE
9328,CHEMBL2106667,COS([O-])(=O)=O.COC1=CC(N)=CN=[N+]1C1=CC=CC=C1,,,46,COS([O-])(=O)=O.COC1=CC(N)=CN=[N+]1C1=CC=CC=C1,TRUE
9329,CHEMBL1722501,CCC1(CC)C(=O)NC=CC1=O,,,21,CCC1(CC)C(=O)NC=CC1=O,TRUE
9330,CHEMBL1788388,CCCCOC(=O)CCC(=O)OCCCC,,,22,CCCCOC(=O)CCC(=O)OCCCC,TRUE
9331,CHEMBL1349073,CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1,,,47,CCOC(=O)COC1=CC2=C(C=C1)C(=O)C=C(O2)C1=CC=CC=C1,TRUE
9333,CHEMBL1213352,ClC1=CC2=C(C=C1)N(CC#C)C(=O)CN=C2C1=CC=CC=C1,,,44,nC1=CC2=C(C=C1)N(CC#C)C(=O)CN=C2C1=CC=CC=C1,TRUE
9334,CHEMBL323348,COC(=O)C1=CC=CC=C1C(=O)OC,,,25,COC(=O)C1=CC=CC=C1C(=O)OC,TRUE
9335,CHEMBL1614637,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C)OC1=CC=CC=C1)C(O)=O,,,66,[H][C@]12SC(C)(C)[C$H](N1C(=O)[C@H]2NC(=O)C(C)OC1=CC=CC=C1)C(O)=O,TRUE
9339,CHEMBL2104907,CCNC1=NC(=O)C(O1)C1=CC=CC=C1,,,28,CCNC1=NC(=O)C(O1)C1=CC=CC=C1,TRUE
9340,CHEMBL2110784,CCOC(=O)CN1CCN(CC1)C(=O)\C=C\C1=CC(OC)=C(OC)C(OC)=C1,,,52,CCOC(=O)CN1CCN(CC1)C(=O)\C=C\C1=CC(OC)=C(OC)C(OC)=C1,TRUE
9341,CHEMBL442687,OC1=CC2=C(SC(=O)O2)C=C1,,,23,OC1=CC2=C(SC(=O)O2)C=C1,TRUE
9344,CHEMBL94394,CCCCOC1=CC=C(CC(=O)NO)C=C1,,,26,CCCCOC1=CC=C(CC(=O)NO)C=C1,TRUE
9345,CHEMBL1413199,O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=CC=CC=C2C1=O,,,52,O=C(C(C1=CC=CC=C1)C1=CC=CC=C1)C1C(=O)C2=CC=CC=C2C1=O,TRUE
9347,CHEMBL1742439,CN(C)CCN1N=C(CC2=CC=CC=C2)C2=CC=CC=C2C1=O,,,41,CN(C)CCN1N=C(CC2=CC=CC=C2)C2=CC=CC=C2C1=O,TRUE
9348,CHEMBL134920,CN1C(\C=C\C2=CC=NC(N)=N2)=NC=C1[N+]([O-])=O,,,43,CN1C(\C=C\C2=CC=NC(N)=N2)=NC=C1[N+]([O-])=O,TRUE
9349,CHEMBL1623992,CCN1CCCC(C1)OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,,,43,CCN1CCCC(C1)OC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,TRUE
9350,CHEMBL1135,CN(C)CCO,,,8,CN(C)CCO,TRUE
9352,CHEMBL1079576,NC(=O)OCCCC1=CC=CC=C1,,,21,NC(=O)OCCCC1=CC=CC=C1,TRUE
9353,CHEMBL3989444,[H][C@@](C)(CC)C(=O)O[C@]1([H])[C@]([H])(OC(C)=O)C2=C(OC1(C)C)C=CC1=C2OC(=O)C=C1,,,80,[H][C$](C)(CC)C(=O)O[C@]1([H])[C@]([H])(OC(C)=O)C2=C(OC1(C)C)C=CC1=C2OC(=O)C=C1,TRUE
9354,CHEMBL2106968,CC1=CC=C2SC3=CC(C)=CC=C3SC2=C1,,,30,CC1=CC=C2SC3=CC(C)=CC=C3SC2=C1,TRUE
